,filename,fold,target,category,esc10,src_file,take
0,1-100032-A-0.wav,1.0,0.0,dog,True,100032.0,A
1,1-100038-A-14.wav,1.0,14.0,chirping_birds,False,100038.0,A
2,1-100210-A-36.wav,1.0,36.0,vacuum_cleaner,False,100210.0,A
3,1-100210-B-36.wav,1.0,36.0,vacuum_cleaner,False,100210.0,B
4,1-101296-A-19.wav,1.0,19.0,thunderstorm,False,101296.0,A
5,1-101296-B-19.wav,1.0,19.0,thunderstorm,False,101296.0,B
6,1-101336-A-30.wav,1.0,30.0,door_wood_knock,False,101336.0,A
7,1-101404-A-34.wav,1.0,34.0,can_opening,False,101404.0,A
8,1-103298-A-9.wav,1.0,9.0,crow,False,103298.0,A
9,1-103995-A-30.wav,1.0,30.0,door_wood_knock,False,103995.0,A
10,1-103999-A-30.wav,1.0,30.0,door_wood_knock,False,103999.0,A
11,1-104089-A-22.wav,1.0,22.0,clapping,False,104089.0,A
12,1-104089-B-22.wav,1.0,22.0,clapping,False,104089.0,B
13,1-105224-A-22.wav,1.0,22.0,clapping,False,105224.0,A
14,1-110389-A-0.wav,1.0,0.0,dog,True,110389.0,A
15,1-110537-A-22.wav,1.0,22.0,clapping,False,110537.0,A
16,1-115521-A-19.wav,1.0,19.0,thunderstorm,False,115521.0,A
17,1-115545-A-48.wav,1.0,48.0,fireworks,False,115545.0,A
18,1-115545-B-48.wav,1.0,48.0,fireworks,False,115545.0,B
19,1-115545-C-48.wav,1.0,48.0,fireworks,False,115545.0,C
20,1-115546-A-48.wav,1.0,48.0,fireworks,False,115546.0,A
21,1-115920-A-22.wav,1.0,22.0,clapping,False,115920.0,A
22,1-115920-B-22.wav,1.0,22.0,clapping,False,115920.0,B
23,1-115921-A-22.wav,1.0,22.0,clapping,False,115921.0,A
24,1-116765-A-41.wav,1.0,41.0,chainsaw,True,116765.0,A
25,1-11687-A-47.wav,1.0,47.0,airplane,False,11687.0,A
26,1-118206-A-31.wav,1.0,31.0,mouse_click,False,118206.0,A
27,1-118559-A-17.wav,1.0,17.0,pouring_water,False,118559.0,A
28,1-119125-A-45.wav,1.0,45.0,train,False,119125.0,A
29,1-121951-A-8.wav,1.0,8.0,sheep,False,121951.0,A
30,1-12653-A-15.wav,1.0,15.0,water_drops,False,12653.0,A
31,1-12654-A-15.wav,1.0,15.0,water_drops,False,12654.0,A
32,1-12654-B-15.wav,1.0,15.0,water_drops,False,12654.0,B
33,1-13571-A-46.wav,1.0,46.0,church_bells,False,13571.0,A
34,1-13572-A-46.wav,1.0,46.0,church_bells,False,13572.0,A
35,1-13613-A-37.wav,1.0,37.0,clock_alarm,False,13613.0,A
36,1-137-A-32.wav,1.0,32.0,keyboard_typing,False,137.0,A
37,1-137296-A-16.wav,1.0,16.0,wind,False,137296.0,A
38,1-14262-A-37.wav,1.0,37.0,clock_alarm,False,14262.0,A
39,1-155858-A-25.wav,1.0,25.0,footsteps,False,155858.0,A
40,1-155858-B-25.wav,1.0,25.0,footsteps,False,155858.0,B
41,1-155858-C-25.wav,1.0,25.0,footsteps,False,155858.0,C
42,1-155858-D-25.wav,1.0,25.0,footsteps,False,155858.0,D
43,1-155858-E-25.wav,1.0,25.0,footsteps,False,155858.0,E
44,1-155858-F-25.wav,1.0,25.0,footsteps,False,155858.0,F
45,1-15689-A-4.wav,1.0,4.0,frog,False,15689.0,A
46,1-15689-B-4.wav,1.0,4.0,frog,False,15689.0,B
47,1-160563-A-48.wav,1.0,48.0,fireworks,False,160563.0,A
48,1-160563-B-48.wav,1.0,48.0,fireworks,False,160563.0,B
49,1-16568-A-3.wav,1.0,3.0,cow,False,16568.0,A
50,1-16746-A-15.wav,1.0,15.0,water_drops,False,16746.0,A
51,1-17092-A-27.wav,1.0,27.0,brushing_teeth,False,17092.0,A
52,1-17092-B-27.wav,1.0,27.0,brushing_teeth,False,17092.0,B
53,1-17124-A-43.wav,1.0,43.0,car_horn,False,17124.0,A
54,1-17150-A-12.wav,1.0,12.0,crackling_fire,True,17150.0,A
55,1-172649-A-40.wav,1.0,40.0,helicopter,True,172649.0,A
56,1-172649-B-40.wav,1.0,40.0,helicopter,True,172649.0,B
57,1-172649-C-40.wav,1.0,40.0,helicopter,True,172649.0,C
58,1-172649-D-40.wav,1.0,40.0,helicopter,True,172649.0,D
59,1-172649-E-40.wav,1.0,40.0,helicopter,True,172649.0,E
60,1-172649-F-40.wav,1.0,40.0,helicopter,True,172649.0,F
61,1-17295-A-29.wav,1.0,29.0,drinking_sipping,False,17295.0,A
62,1-17367-A-10.wav,1.0,10.0,rain,True,17367.0,A
63,1-17565-A-12.wav,1.0,12.0,crackling_fire,True,17565.0,A
64,1-17585-A-7.wav,1.0,7.0,insects,False,17585.0,A
65,1-17742-A-12.wav,1.0,12.0,crackling_fire,True,17742.0,A
66,1-17808-A-12.wav,1.0,12.0,crackling_fire,True,17808.0,A
67,1-17808-B-12.wav,1.0,12.0,crackling_fire,True,17808.0,B
68,1-1791-A-26.wav,1.0,26.0,laughing,False,1791.0,A
69,1-17970-A-4.wav,1.0,4.0,frog,False,17970.0,A
70,1-18074-A-6.wav,1.0,6.0,hen,False,18074.0,A
71,1-18074-B-6.wav,1.0,6.0,hen,False,18074.0,B
72,1-181071-A-40.wav,1.0,40.0,helicopter,True,181071.0,A
73,1-181071-B-40.wav,1.0,40.0,helicopter,True,181071.0,B
74,1-18527-A-44.wav,1.0,44.0,engine,False,18527.0,A
75,1-18527-B-44.wav,1.0,44.0,engine,False,18527.0,B
76,1-18631-A-23.wav,1.0,23.0,breathing,False,18631.0,A
77,1-18655-A-31.wav,1.0,31.0,mouse_click,False,18655.0,A
78,1-187207-A-20.wav,1.0,20.0,crying_baby,True,187207.0,A
79,1-18755-A-4.wav,1.0,4.0,frog,False,18755.0,A
80,1-18755-B-4.wav,1.0,4.0,frog,False,18755.0,B
81,1-18757-A-4.wav,1.0,4.0,frog,False,18757.0,A
82,1-18810-A-49.wav,1.0,49.0,hand_saw,False,18810.0,A
83,1-19026-A-43.wav,1.0,43.0,car_horn,False,19026.0,A
84,1-19111-A-24.wav,1.0,24.0,coughing,False,19111.0,A
85,1-19118-A-24.wav,1.0,24.0,coughing,False,19118.0,A
86,1-19501-A-7.wav,1.0,7.0,insects,False,19501.0,A
87,1-196660-A-8.wav,1.0,8.0,sheep,False,196660.0,A
88,1-196660-B-8.wav,1.0,8.0,sheep,False,196660.0,B
89,1-19840-A-36.wav,1.0,36.0,vacuum_cleaner,False,19840.0,A
90,1-19872-A-36.wav,1.0,36.0,vacuum_cleaner,False,19872.0,A
91,1-19872-B-36.wav,1.0,36.0,vacuum_cleaner,False,19872.0,B
92,1-19898-A-41.wav,1.0,41.0,chainsaw,True,19898.0,A
93,1-19898-B-41.wav,1.0,41.0,chainsaw,True,19898.0,B
94,1-19898-C-41.wav,1.0,41.0,chainsaw,True,19898.0,C
95,1-20133-A-39.wav,1.0,39.0,glass_breaking,False,20133.0,A
96,1-202111-A-3.wav,1.0,3.0,cow,False,202111.0,A
97,1-20545-A-28.wav,1.0,28.0,snoring,False,20545.0,A
98,1-20736-A-18.wav,1.0,18.0,toilet_flush,False,20736.0,A
